codigo_producto,producto,n_organismos,n_ordenes,n_lineas,gasto_total
15121501,Aceite de motor,3,5,8,2210514
42231803,Fórmulas suplementarias para enfermedades específi,3,5,25,220769210
41116121,"Reactivos, soluciones o tinturas hematológicos",3,5,21,10564157
11141608,Residuos o desperdicios peligrosos,3,5,7,34530642
50101540,Verduras estables sin refrigerar,3,5,16,27833792
42295507,Implantes ortopédicos o alambres quirúrgicos,3,5,12,66374918
41115307,Láser,3,5,10,6079384
42312312,Bandejas de cuidado o limpieza cutáneos,3,5,5,6180000
51142106,Ibuprofeno,3,5,5,2223300
83111511,Servicio de comunicación IP,3,4,4,321556503
42141606,Palanganas médicas para fines múltiples,3,4,4,19500000
42281523,Filtro de mangas de esterilización,3,4,26,4202972
42295104,Equipo electro quirúrgico o electro cauterio o accesorios o productos relacionados,3,4,8,4681602
78131602,Almacenaje de documentos en carpetas,3,4,4,68904156
15101505,Diesel,3,4,6,29128084
47121702,Envases para residuos o forros rígidos,3,4,4,370540
12352310,Siliconas,3,4,8,320076
42281603,Desinfectantes de los instrumentos médicos,3,4,5,3824561
42211705,Audífonos para personas con discapacidad física,3,4,4,37978381
14111609,Papel para forrar,3,4,18,2727890
41111804,Equipo de examen ultrasónico,3,4,4,13745597
50131702,Productos de mantequilla o leche en conserva,3,4,4,270500
42151805,Discos de acabado o pulido,3,4,4,93000
42151504,Barniz dental,3,4,4,2194205
52152007,Pocillos,3,4,4,4183000
42152206,Moldes dentales de laboratorio,3,4,23,5097956
44121505,Sobres especiales,3,4,8,209150
42293303,Espéculos quirúrgicos,3,4,6,6013440
42312009,Grapadoras para uso interno,3,4,6,8040310
42203406,Dispositivos para la retirada de catéteres o sets vasculares de diagnóstico o intervención,3,4,5,14524800
41103011,Refrigeradores o congeladores de uso general,3,4,5,5820564
41111604,Reglas,3,4,4,92066
44121619,Sacapuntas,3,4,4,34979
42142802,Sostenes o aparatos vasculares o de compresión,3,4,11,3428870
51191902,Suplementos de aminoácidos,3,4,5,9975000
42251706,"Andadores, bicicletas o aparatos de ejercicio de marcha o accesorios",3,4,7,2803630
42171804,Equipos de cricotirotomía o tubos traqueal de servicios médicos de urgencia,3,4,6,4443350
42231807,Tetinas o chupetes de biberón o mamadera,3,4,6,4871340
42294504,Instrumentos para la membrana intraocular para cir,3,4,28,5397250
42221604,"Protectores, tapas, cierres, conectores o adaptado",3,4,4,8615000
41122601,Portaobjetos,3,4,4,268960
72102104,Control estructural de plagas,3,4,5,7378655
51241204,Ácido bórico,3,4,4,2340912
82121505,Impresión promocional o publicitaria,3,4,4,223000
51161637,Clorhidrato de hidroxizina,3,4,4,2061070
51172101,Clorhidrato de mebeverina,3,4,4,549320
42294717,Dispositivos de ayuda ventricular,3,4,4,3564240
85121610,Servicios oftalmológicos,3,4,4,77170600
80111707,Personal técnico,3,4,6,26726750
50201711,Té instantáneo,3,4,4,291816
51142145,Adalimumab,3,4,4,24305183
50202311,Bebidas,3,3,11,917600
14121504,Papel para embalaje,3,3,3,2184560
42272504,Sets o kits de anestesia,3,3,4,1784650
42141705,"Almohadillas, cojines o almohadas para posicionar el enfermo",3,3,3,7648000
42152111,Endurecedores de material de impresión dental,3,3,3,5367594
42191502,Bandejas o fundas médicas,3,3,3,1099500
55121802,Pulseras o tarjetas de identificación o productos similares,3,3,3,147000
82101504,Publicidad en periódicos,3,3,3,1715820
39121011,Fuentes de alimentación continua,3,3,3,14945169
81141604,Servicios de transporte,3,3,4,23119000
84131503,Seguro de automóviles o camiones,3,3,20,57936106
49211806,Tienda de deporte,3,3,3,58162476
46171503,Juegos de cerraduras,3,3,4,398840
78102201,Servicios de entrega postal nacional,3,3,3,7500000
44121605,Dispensador de cinta,3,3,6,128626
81111805,Mantenimiento y soporte de sistemas propietarios,3,3,5,13399505
73161517,"Servicios de fabricación de equipo de aire acondicionado, ventilación o refrigeración",3,3,4,3554185
82101603,Publicidad en Internet,3,3,3,9818325
44121509,Valijas o bolsas para correspondencia,3,3,3,4971134
